"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.930531340E-1,1.872336864E-2,3.023815155E-2,-6.396615505E-2
8.978305820E-1,-4.200315475E-2,3.229331970E-2,-5.204403400E-2
9.026080300E-1,-8.976328373E-2,-1.011466980E-2,-1.487718225E-1
9.073855300E-1,-9.325635433E-2,-2.961921692E-2,-2.187550068E-1
9.121629780E-1,-9.687948227E-2,-6.257057190E-3,-1.703805923E-1
9.169404260E-1,-7.160985470E-2,6.215095520E-3,-8.524394035E-2
9.217179260E-1,9.823679924E-3,1.989364624E-3,-2.294719219E-2
9.264953740E-1,7.575154305E-2,1.362800598E-3,3.405374289E-2
9.312728220E-1,9.202253819E-2,6.093978882E-3,9.423917532E-2
9.360503220E-1,7.499814034E-2,8.405685425E-3,1.500030160E-1
9.408277690E-1,6.296110153E-2,-1.363468170E-2,1.718435287E-1
9.456052690E-1,2.619171143E-2,-2.007865906E-2,1.861392260E-1
9.503827170E-1,2.056908607E-2,-1.760578156E-2,1.953852177E-1
9.551601650E-1,-7.568717003E-3,-1.636505127E-2,1.989264488E-1
9.599376650E-1,2.024519444E-2,-7.450103760E-3,1.646959782E-1
9.647151130E-1,3.722119331E-2,-1.285076141E-2,1.410604715E-1
9.694925610E-1,4.865098000E-2,-1.703357697E-2,1.199986339E-1
9.742700610E-1,6.185150146E-2,-1.584053040E-3,9.252983332E-2
9.790475090E-1,8.392155170E-2,2.264690399E-2,7.776087523E-2
9.838249570E-1,5.602264404E-2,1.011848450E-3,5.949300528E-2
9.886024570E-1,4.381704330E-2,-1.805591583E-2,2.941274643E-2
9.933799050E-1,3.051626682E-2,2.186775208E-3,1.342475414E-3
9.981573530E-1,1.790988445E-2,-1.035308838E-2,-2.251183987E-2
1.002934853E0,7.185220718E-3,-2.455711365E-2,-2.913254499E-2
1.007712301E0,4.906654358E-3,-3.744220734E-2,-3.336340189E-2
1.012489749E0,2.220010757E-2,-4.962539673E-2,-2.934056520E-2
1.017267249E0,3.468263149E-2,-4.684352875E-2,-5.229985714E-2
1.022044697E0,4.178154469E-2,-2.449417114E-2,-4.664963484E-2
1.026822144E0,3.468430042E-2,3.629684448E-3,-4.236239195E-2
1.031599644E0,-7.761716843E-4,2.144622803E-2,-3.400528431E-2
1.036377092E0,-6.257414818E-3,1.420783997E-2,-1.628500223E-2
1.041154540E0,-2.179241180E-2,9.994506836E-3,-8.228302002E-3
