"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.529454176E0,1.933125114E1,-3.528750229E1,-3.841875076E1
1.539454176E0,1.925625038E1,-3.571875000E1,-3.817500305E1
1.549454176E0,1.935000038E1,-3.586875153E1,-3.811875153E1
1.559454176E0,1.933125114E1,-3.581250000E1,-3.798750305E1
1.569454176E0,1.966875076E1,-3.570000076E1,-3.811875153E1
1.579454176E0,1.961250114E1,-3.545625305E1,-3.813750076E1
1.589454176E0,1.991250038E1,-3.549375153E1,-3.770625305E1
1.599454176E0,2.015625000E1,-3.547500229E1,-3.759375000E1
1.609454176E0,2.013750076E1,-3.575625229E1,-3.750000000E1
1.619454176E0,2.019375038E1,-3.577500153E1,-3.766875076E1
1.629454176E0,2.053125000E1,-3.585000229E1,-3.776250076E1
1.639454176E0,2.070000076E1,-3.568125153E1,-3.776250076E1
1.649454176E0,2.079375076E1,-3.594375229E1,-3.753750229E1
1.659454176E0,2.075625038E1,-3.609375000E1,-3.800625229E1
1.669454176E0,2.049375153E1,-3.596250153E1,-3.840000153E1
1.679454176E0,2.034375000E1,-3.601875305E1,-3.841875076E1
1.689454176E0,2.023125076E1,-3.618750000E1,-3.838125229E1
1.699454176E0,2.038125038E1,-3.630000305E1,-3.866250229E1
1.709454176E0,2.008125114E1,-3.601875305E1,-3.871875000E1
1.719454176E0,1.985625076E1,-3.605625153E1,-3.894375229E1
1.729454176E0,1.965000153E1,-3.603750229E1,-3.915000153E1
1.739454176E0,1.974375153E1,-3.605625153E1,-3.877500153E1
1.749454176E0,1.970625114E1,-3.620625305E1,-3.849375153E1
1.759454176E0,1.966875076E1,-3.616875076E1,-3.840000153E1
1.769454176E0,1.957500076E1,-3.590625000E1,-3.851250076E1
1.779454176E0,1.935000038E1,-3.543750000E1,-3.789375305E1
1.789454176E0,1.927500153E1,-3.547500229E1,-3.783750153E1
1.799454176E0,1.944375038E1,-3.581250000E1,-3.830625153E1
1.809454176E0,1.951875114E1,-3.566250229E1,-3.832500076E1
1.819454176E0,1.936875153E1,-3.538125229E1,-3.832500076E1
1.829454176E0,1.953750038E1,-3.543750000E1,-3.849375153E1
1.839454176E0,1.972500038E1,-3.525000000E1,-3.849375153E1
1.849454176E0,1.985625076E1,-3.530625153E1,-3.841875076E1
1.859454176E0,1.974375153E1,-3.555000305E1,-3.856875229E1
1.869454176E0,1.991250038E1,-3.547500229E1,-3.836250305E1
1.879454176E0,1.955625153E1,-3.534375000E1,-3.806250000E1
1.889454176E0,1.936875153E1,-3.534375000E1,-3.813750076E1
1.899454176E0,1.940625000E1,-3.577500153E1,-3.845625305E1
1.909454176E0,1.940625000E1,-3.556875229E1,-3.841875076E1
1.919454176E0,1.923750114E1,-3.588750076E1,-3.881250000E1
1.929454176E0,1.897500038E1,-3.607500076E1,-3.890625000E1
1.939454176E0,1.901250076E1,-3.601875305E1,-3.890625000E1
1.949454176E0,1.876875114E1,-3.626250076E1,-3.918750000E1
1.959454176E0,1.888125038E1,-3.605625153E1,-3.894375229E1
1.969454176E0,1.908750153E1,-3.598125076E1,-3.873750305E1
1.979454176E0,1.914375114E1,-3.558750153E1,-3.866250229E1
1.989454176E0,1.886250114E1,-3.583125305E1,-3.868125153E1
1.999454176E0,1.903125000E1,-3.605625153E1,-3.825000000E1
2.009454176E0,1.921875000E1,-3.605625153E1,-3.815625000E1
2.019454176E0,1.897500038E1,-3.603750229E1,-3.806250000E1
2.029454176E0,1.903125000E1,-3.592500305E1,-3.781875229E1
2.039454176E0,1.916250038E1,-3.586875153E1,-3.770625305E1
2.049454176E0,1.903125000E1,-3.581250000E1,-3.765000153E1
2.059454176E0,1.905000114E1,-3.583125305E1,-3.746250153E1
2.069454176E0,1.920000076E1,-3.577500153E1,-3.778125000E1
2.079454176E0,1.905000114E1,-3.532500076E1,-3.774375153E1
2.089454176E0,1.920000076E1,-3.517500305E1,-3.781875229E1
2.099454176E0,1.950000000E1,-3.511875153E1,-3.785625076E1
2.109454176E0,1.940625000E1,-3.528750229E1,-3.776250076E1
2.119454176E0,1.942500114E1,-3.511875153E1,-3.789375305E1
2.129454176E0,1.942500114E1,-3.540000153E1,-3.802500153E1
2.139454176E0,1.923750114E1,-3.534375000E1,-3.813750076E1
2.149454176E0,1.916250038E1,-3.536250305E1,-3.780000305E1
2.159454176E0,1.940625000E1,-3.545625305E1,-3.798750305E1
2.169454176E0,1.916250038E1,-3.540000153E1,-3.789375305E1
2.179454176E0,1.920000076E1,-3.547500229E1,-3.785625076E1
2.189454176E0,1.920000076E1,-3.540000153E1,-3.819375229E1
2.199454176E0,1.940625000E1,-3.577500153E1,-3.806250000E1
2.209454176E0,1.950000000E1,-3.551250076E1,-3.819375229E1
2.219454176E0,1.983750153E1,-3.558750153E1,-3.804375076E1
2.229454176E0,1.965000153E1,-3.543750000E1,-3.815625000E1
2.239454176E0,1.948125076E1,-3.547500229E1,-3.798750305E1
2.249454176E0,1.950000000E1,-3.553125000E1,-3.806250000E1
2.259454176E0,1.965000153E1,-3.519375229E1,-3.817500305E1
2.269454176E0,1.959375000E1,-3.517500305E1,-3.825000000E1
2.279454176E0,1.938750076E1,-3.478125000E1,-3.832500076E1
2.289454176E0,1.916250038E1,-3.480000305E1,-3.817500305E1
2.299454176E0,1.905000114E1,-3.476250076E1,-3.828750229E1
2.309454176E0,1.916250038E1,-3.478125000E1,-3.830625153E1
2.319454176E0,1.905000114E1,-3.547500229E1,-3.870000076E1
2.329454176E0,1.935000038E1,-3.573750305E1,-3.890625000E1
2.339454176E0,1.948125076E1,-3.594375229E1,-3.885000229E1
2.349454176E0,1.953750038E1,-3.573750305E1,-3.855000305E1
2.359454176E0,1.966875076E1,-3.600000000E1,-3.855000305E1
2.369454176E0,1.981875038E1,-3.603750229E1,-3.862500000E1
2.379454176E0,1.987500000E1,-3.607500076E1,-3.834375000E1
2.389454176E0,1.968750000E1,-3.616875076E1,-3.840000153E1
2.399454176E0,1.989375114E1,-3.538125229E1,-3.819375229E1
2.409454176E0,1.985625076E1,-3.506250000E1,-3.810000229E1
2.419454176E0,1.968750000E1,-3.536250305E1,-3.853125000E1
2.429454176E0,1.968750000E1,-3.555000305E1,-3.868125153E1
2.439454176E0,1.968750000E1,-3.538125229E1,-3.875625229E1
2.449454176E0,1.968750000E1,-3.551250076E1,-3.868125153E1
2.459454176E0,1.951875114E1,-3.551250076E1,-3.892500305E1
2.469454176E0,1.983750153E1,-3.532500076E1,-3.866250229E1
2.479454176E0,1.980000114E1,-3.545625305E1,-3.843750000E1
2.489454176E0,1.944375038E1,-3.555000305E1,-3.821250153E1
2.499454176E0,1.938750076E1,-3.588750076E1,-3.840000153E1
2.509454176E0,1.929375076E1,-3.601875305E1,-3.845625305E1
2.519454176E0,1.929375076E1,-3.618750000E1,-3.832500076E1
2.529454176E0,1.936875153E1,-3.607500076E1,-3.828750229E1
2.539454176E0,1.950000000E1,-3.633750153E1,-3.830625153E1
2.549454176E0,1.916250038E1,-3.641250229E1,-3.832500076E1
2.559454176E0,1.890000153E1,-3.652500153E1,-3.877500153E1
2.569454176E0,1.923750114E1,-3.648750305E1,-3.883125305E1
2.579454176E0,1.923750114E1,-3.648750305E1,-3.870000076E1
2.589454176E0,1.948125076E1,-3.637500000E1,-3.883125305E1
2.599454176E0,1.936875153E1,-3.648750305E1,-3.909375000E1
2.609454176E0,1.910625076E1,-3.669375229E1,-3.890625000E1
2.619454176E0,1.884375000E1,-3.701250076E1,-3.937500000E1
2.629454176E0,1.910625076E1,-3.714375305E1,-3.935625076E1
2.639454176E0,1.936875153E1,-3.703125000E1,-3.909375000E1
2.649454176E0,1.925625038E1,-3.720000076E1,-3.926250076E1
2.659454176E0,1.905000114E1,-3.667500305E1,-3.885000229E1
2.669454176E0,1.895625114E1,-3.671250153E1,-3.853125000E1
2.679454176E0,1.893750000E1,-3.678750229E1,-3.841875076E1
2.689454176E0,1.933125114E1,-3.667500305E1,-3.841875076E1
2.699454176E0,1.955625153E1,-3.616875076E1,-3.783750153E1
2.709454176E0,1.959375000E1,-3.605625153E1,-3.780000305E1
2.719454176E0,1.948125076E1,-3.639375305E1,-3.785625076E1
2.729454176E0,1.959375000E1,-3.641250229E1,-3.778125000E1
2.739454176E0,1.957500076E1,-3.645000076E1,-3.765000153E1
2.749454176E0,1.968750000E1,-3.671250153E1,-3.789375305E1
2.759454176E0,1.980000114E1,-3.650625229E1,-3.776250076E1
2.769454176E0,1.970625114E1,-3.637500000E1,-3.774375153E1
2.779454176E0,1.966875076E1,-3.613125229E1,-3.770625305E1
2.789454176E0,1.957500076E1,-3.613125229E1,-3.766875076E1
2.799454176E0,1.955625153E1,-3.588750076E1,-3.778125000E1
2.809454176E0,1.972500038E1,-3.566250229E1,-3.761250305E1
2.819454176E0,1.983750153E1,-3.575625229E1,-3.759375000E1
2.829454176E0,2.004375076E1,-3.536250305E1,-3.766875076E1
2.839454176E0,2.025000000E1,-3.540000153E1,-3.780000305E1
2.849454176E0,2.034375000E1,-3.555000305E1,-3.781875229E1
2.859454176E0,2.032500076E1,-3.566250229E1,-3.787500000E1
2.869454176E0,2.034375000E1,-3.564375305E1,-3.785625076E1
2.879454176E0,2.058750153E1,-3.540000153E1,-3.774375153E1
2.889454176E0,2.019375038E1,-3.562500000E1,-3.796875000E1
2.899454176E0,2.008125114E1,-3.549375153E1,-3.830625153E1
2.909454176E0,1.989375114E1,-3.556875229E1,-3.821250153E1
2.919454176E0,1.957500076E1,-3.566250229E1,-3.804375076E1
2.929454176E0,1.931250000E1,-3.571875000E1,-3.808125305E1
2.939454176E0,1.951875114E1,-3.560625076E1,-3.819375229E1
2.949454176E0,1.950000000E1,-3.558750153E1,-3.811875153E1
2.959454176E0,1.923750114E1,-3.562500000E1,-3.825000000E1
2.969454176E0,1.935000038E1,-3.538125229E1,-3.810000229E1
2.979454176E0,1.916250038E1,-3.534375000E1,-3.800625229E1
2.989454176E0,1.929375076E1,-3.534375000E1,-3.774375153E1
2.999454176E0,1.944375038E1,-3.508125305E1,-3.778125000E1
3.009454176E0,1.936875153E1,-3.510000229E1,-3.781875229E1
3.019454176E0,1.891875076E1,-3.525000000E1,-3.778125000E1
3.029454176E0,1.901250076E1,-3.562500000E1,-3.811875153E1
3.039454176E0,1.935000038E1,-3.564375305E1,-3.800625229E1
3.049454176E0,1.936875153E1,-3.564375305E1,-3.817500305E1
3.059454176E0,1.972500038E1,-3.558750153E1,-3.810000229E1
3.069454176E0,1.950000000E1,-3.555000305E1,-3.815625000E1
3.079454176E0,1.940625000E1,-3.555000305E1,-3.815625000E1
3.089454176E0,1.980000114E1,-3.566250229E1,-3.817500305E1
3.099454176E0,2.006250000E1,-3.571875000E1,-3.811875153E1
3.109454176E0,2.008125114E1,-3.555000305E1,-3.798750305E1
3.119454176E0,1.983750153E1,-3.551250076E1,-3.796875000E1
